SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength
CCN1C(=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21,AGJZCWVTGOVGBS-UHFFFAOYSA-N,3,0,1,0.173913043,14.81419425,8.994514298,6.266884659,4.873973775,3.66639915,2,2,3,327.451,13,121.7298744,13.50310487,12,2,529
CCN1C(=CC=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21,HQCBCYUEDZNVBO-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.661180965,6.648330515,5.112179042,3.799167551,2,2,4,353.489,14,324.7678311,16.75756006,14,4,626
CCN1C(=CC=CC=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21,HUKKJPBJMKANKC-UHFFFAOYSA-N,3,0,1,0.148148148,17.12359533,10.32784763,7.033230694,5.334401264,3.926316169,2,2,5,379.527,15,496.4350532,17.84710609,16,6,736
CCN1C=CC(=CC=Cc2cc[n+](CC)c3ccccc23)c2ccccc21,TVRUNVZRBXNONE-UHFFFAOYSA-N,3,0,1,0.16,15.96889479,9.653014879,6.674271432,5.149988506,3.714735557,2,2,4,353.489,14,589.6421858,15.7348213,12,4,701
CCN1c2ccccc2OC1=CC=Cc1[n+](CC)c2ccccc2o1,VZUFSMBGWBLOCB-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,333.411,12,425.7622335,13.99177534,12,4,512
CCN1c2ccccc2OC1=CC=CC=Cc1[n+](CC)c2ccccc2o1,VAGJCLDZLVQVPR-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,359.449,13,302.0248728,17.84122912,14,6,609
CCN1c2ccccc2OC1=CC=CC=CC=Cc1[n+](CC)c2ccccc2o1,YFMAIXBXQGUOBW-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,385.487,14,437.0009605,18.54675869,16,8,698
CCN1c2ccccc2SC1=Cc1[n+](CC)c2ccccc2s1,WCJHMNADZOKGGL-UHFFFAOYSA-N,3,0,3,0.210526316,13.32128976,7.989643674,5.448904298,4.152622646,3.0786129,4,2,3,339.509,11,226.7898323,13.32275443,11,2,418
CCN1c2ccccc2SC1=CC=Cc1[n+](CC)c2ccccc2s1,JGLWGLKNDHZFAP-UHFFFAOYSA-N,3,0,3,0.19047619,14.4759903,8.656310341,5.830350154,4.383276122,3.218954592,4,2,4,365.547,12,215.2737154,14.43050777,13,4,521
CCN1c2ccccc2SC1=CC=CC=Cc1[n+](CC)c2ccccc2s1,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,3,0,3,0.173913043,15.63069083,9.322977007,6.215250333,4.605498345,3.346103211,4,2,5,391.585,13,569.0426561,16.72947487,15,6,615
CCN1c2ccccc2SC1=CC=CC=CC=Cc1[n+](CC)c2ccccc2s1,UMTQICYFVVKJFV-UHFFFAOYSA-N,3,0,3,0.16,16.78539137,9.989643674,6.600150513,4.827720567,3.474403271,4,2,6,417.623,14,1280.653595,18.70203709,17,8,700
